"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"ES-W1A-W3,3GR/F0006","ES-W1A-W3,3GR/F0006","[ES-W1A-W3,3GR] Wardah Eye Shadow A 3,3 gr (pc(s))","P","2000-01-01","2020-01-22","PTI: Jatake 1 - Kemas","MO/200002639","Confirmed","B","Pc(s)"
"ES-W0L-W3,3GR/F0005","ES-W0L-W3,3GR/F0005/02/01","[ES-W0L-02-RP-W1,1GR] Refill Press Eye Shadow Wardah L 02","P","2020-02-03","2020-02-04","PTI: Jatake 1 - Press","MO/200003393","Confirmed","B","Pc(s)"
"ES-W1A-W3,3GR/F0018","ES-W1A-W3,3GR/F0018/01/01","[ES-W1A-01-RP-W1,1GR] Refill Press Eye Shadow Wardah A 01 (Pc(s))","P","2020-07-23","2020-07-23","PTI: Jatake 1 - Press","MO/200019675","Confirmed","B","Pc(s)"
"ES-W1A-W3,3GR/F0019","ES-W1A-W3,3GR/F0019/02/01","[ES-W1A-02-RP-W1,1GR] Refill Press Eye Shadow Wardah A 02","P","2020-07-24","2020-07-27","PTI: Jatake 1 - Press","MO/200019678","Confirmed","B","Pc(s)"
"ES-PNU-MO10G/G0012","ES-PNU-MO10G/G0012/04/01","[ES-PNU-04-RP-MO1,25G] Refill Press Eye Shadow Nudes Palette 04","P","2021-05-06","2021-05-10","PTI: Jatake 1 - Press","MO/210016492","Confirmed","B","Pc(s)"
"L-PTMC01-MO/H0013","L-PTMC01-MO/H0013","[L-PTMC01-MO] MAKE OVER Powerstay Transferproof Matte Lip Cream B01 No. 1 7 g","S","2022-04-02","2022-04-04","PTI: Jatake 1 - Kemas","MO/220012641","Confirmed","B","Pc(s)"
"L-PTMCB-MO/H0012","L-PTMCB-MO/H0012","[L-PTMCB-MO] MAKE OVER Powerstay Transferproof Matte Lip Cream B10 M.O. 7 g","S","2022-04-12","2022-05-13","PTI: Jatake 1 - Kemas","MO/220013537","Confirmed","B","Pc(s)"
"BUT-W3O-W150ML/H0005","MO-BUT-W0O-BULK/H0006","[BUT-W0O-BULK] WARDAH Creamy Body Butter with Olive Bulk","L","2022-04-22","2022-04-27","PTI: Jatake 2 - Olah","MO/220016083","Confirmed","C","kg"
"FT-NDATE-W/H0013","MO-FT-NDATE-BULK/H0013","[FT-NDATE-BULK] Wardah Nature Daily Aloe Toner Essence","L","2022-04-25","2022-04-27","PTI: Jatake 2 - Olah","MO/220016408","Confirmed","B","kg"
"SRM-H-MO33ML/H0004","MO-SRM-H-BULK/H0004","[SRM-H-BULK] Bulk Hydration Serum Make Over","L","2022-04-26","2022-04-28","PTI: Jatake 2 - Olah","MO/220016429","Confirmed","C","kg"
