SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
APPL-EBR0-ENPS;2200060;1;9;2;10000;1000;MS UNION INTERNASIONAL, PT;10;202201;
BAL-BALTEPLR0-E;2200148;1;11;2;30000;30000;NINGBO JIELI COSMETICAL PACKAGE CO.,LTD;11;202223;
BAL-BPR1D882B08-WT;2200154;1;18;2;30000;500;KARYA INDAH PESONA, PT;12;202104;
BAL-BROBPPEC-D254W23;2200086;1;2;2;50000;100;SUMBER TRI MAKMUR, PT;13;202104;
BAL-EXPPLR0-W;2200148;1;10;2;30000;30000;NINGBO JIELI COSMETICAL PACKAGE CO.,LTD;14;202139;
BAL-PSFEXPPLR0-W;2200148;1;2;2;500;100;NINGBO JIELI COSMETICAL PACKAGE CO.,LTD;15;202129;
BAL-PSTEPLR0-E;2200148;1;3;2;200;200;NINGBO JIELI COSMETICAL PACKAGE CO.,LTD;16;202150;
BAL-SPPLL-MOSS;2200032;1;15;2;10000;100;ESMIN CO., LTD.;17;202104;
BAL-SSLEL-WSS;2200032;1;17;2;24000;100;ESMIN CO., LTD.;18;202104;
BASC-UVSSR0-W;2200115;1;14;2;50000;100;NINGBO YUNWU PLASTICS CO.,LTD;19;202104;
BASE-CLBPER0-E;2200131;1;10;2;25000;100;DERIK INDUSTRIAL CO.,LTD;20;202201;
BASE-CLBPIR0-E;2200131;1;10;2;10000;100;DERIK INDUSTRIAL CO.,LTD;21;202201;
BASE-CLHNTR0-E;2200131;1;10;2;10000;100;DERIK INDUSTRIAL CO.,LTD;22;202201;
BASE-MMB01-MO;2303771;1;16;2;3000;100;ZHONGSHAN FULIN COSMETICS CO.,;23;202203;
BASE-MMB02-MO;2303771;1;16;2;3000;100;ZHONGSHAN FULIN COSMETICS CO.,;24;202203;
BASE-MMB03-MO;2303771;1;16;2;3000;100;ZHONGSHAN FULIN COSMETICS CO.,;25;202203;
BASE-MMB04-MO;2303771;1;16;2;3000;100;ZHONGSHAN FULIN COSMETICS CO.,;26;202203;
BASE-MMB05-MO;2303771;1;16;2;3000;100;ZHONGSHAN FULIN COSMETICS CO.,;27;202203;
BO-EDTKITR0-K;2302356;1;11;2;10000;100;NINGBO SOMEWANG PACKAGING CO., LTD;28;202108;
BOTO-ADS170-WHDPE;2200019;1;4;2;50000;255;BUMIMULIA INDAH LESTARI, PT;29;202207;
BOTO-ADS1702R0-W;2200028;1;4;2;100100;200;DYNAPLAST, PT;30;202201;
BOTO-ADS1702R1-W;2200028;1;4;2;100000;200;DYNAPLAST, PT;31;202230;
BOTO-ADS170R2-WHDPE;2200019;1;4;2;100980;255;BUMIMULIA INDAH LESTARI, PT;32;202107;
BOTO-AFRBW-K;2200036;1;4;2;30000;185;HIDAYAT PUTRA INDUSTRI, PT;33;202228;
BOTO-AHRMS30R0-W;2200120;1;14;2;50000;100;SHAMROCK (HK) LIMITED;34;202206;
BOTO-ALMR1-WPETG;2200032;1;17;2;24000;100;ESMIN CO., LTD.;35;202205;
BOTO-BCBW-K;2200036;1;4;2;30000;185;HIDAYAT PUTRA INDUSTRI, PT;36;202228;
BOTO-BDMR0-MOPTG;2200032;1;15;2;10000;100;ESMIN CO., LTD.;37;202104;
BOTO-BNG100PVC-;2200042;1;4;2;30000;354;JAYATAMA SELARAS, PT;38;202201;
BOTO-BR100SO-W;2308464;1;4;2;200000;100;ARTHA KARTIKA PUTRA, PT;39;202209;
BOTO-BSLPR2-EM;2200004;1;4;2;10000;472;ALBEA RIGID PACKAGING, PT;40;202201;
BOTO-BWMGTR0-BD;2305884;1;2;2;10000;128;NATAMAS PLAST, PT;41;202133;
BOTO-BWMSSR0-BD;2305884;1;2;2;10000;128;NATAMAS PLAST, PT;42;202133;
BOTO-BWMYZR0-BD;2305884;1;2;2;10000;128;NATAMAS PLAST, PT;43;202201;
BOTO-CADLPR0-W;2200089;1;9;2;300000;630;TECHPACK ASIA, PT;44;202217;
BOTO-CAUSSSR0-TV;2302336;1;4;2;15000;784;NEW RED&WHITE MANUFACTORY, PT;45;202203;
BOTO-CDAMGR0-W;2200001;1;14;2;5000;100;A.BEST INTER PRODUCTS CO.,LTD;46;202104;
BOTO-CDFMR0-WPET;2200103;1;10;2;10000;100;ZHEJIANG JM INDUSTRY CO., LTD;47;202203;
BOTO-CDFMR1-WPET;2200103;1;12;2;10000;100;ZHEJIANG JM INDUSTRY CO., LTD;48;202104;
BOTO-CLFR0-OMG;2305884;1;4;2;30000;782;NATAMAS PLAST, PT;49;202104;
