"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"BB-BBC-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"BB-BBA-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"BB-BBD-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"LD-CDFB-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"BO-R2CLPBML-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"BO-R2CLPBVB-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"GWP-ERDPA-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"GWP-ERDPB-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"EB-IPBC-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"EB-IPEM03-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"EB-RIPEM01-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"EB-RIPEM02-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"POM-BHPH-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"HP-DTHP-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"F-OMGL-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"L-MLCQ-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Draft"
"L-IPAM02-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"L-IPAM03-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
"HWB-EBSSSP-BULK","Semi Finished Goods","Bulk","Confirmed","Confirmed","Draft","Draft","Draft","Draft"
